,Id,Name,Icon,DyeCount,ClassJobCategory,EquipSlotCategory
0,366,낡은 머리쓰개,/i/041000/041546_hr1.png,0,1,3
1,367,낡은 베레모,/i/041000/041070_hr1.png,0,1,3
2,368,낡은 단안경,/i/040000/040898_hr1.png,0,1,3
3,369,낡은 두건,/i/041000/041588_hr1.png,0,1,3
4,370,낡은 차광모자,/i/041000/041041_hr1.png,0,1,3
5,371,낡은 해변모자,/i/041000/041042_hr1.png,0,1,3
6,616,낡은 겹옷,/i/042000/042068_hr1.png,0,1,4
7,617,낡은 로브,/i/042000/042083_hr1.png,0,1,4
8,618,낡은 달마티카,/i/042000/042070_hr1.png,0,1,4
9,619,낡은 달마티카 [회색],/i/042000/042256_hr1.png,0,1,4
10,620,낡은 덧옷 [회색],/i/042000/042254_hr1.png,0,1,4
11,621,낡은 덧옷 [빨강],/i/042000/042255_hr1.png,0,1,4
12,622,낡은 사냥용 튜닉,/i/042000/042101_hr1.png,0,1,4
13,623,낡은 셔츠,/i/042000/042115_hr1.png,0,1,4
14,624,낡은 누비옷,/i/043000/043025_hr1.png,0,1,4
15,625,낡은 웃옷,/i/042000/042082_hr1.png,0,1,4
16,626,낡은 휘장복,/i/043000/043061_hr1.png,0,1,4
17,627,낡은 겹옷조끼,/i/042000/042135_hr1.png,0,1,4
18,628,낡은 반로브,/i/042000/042164_hr1.png,0,1,4
19,952,낡은 일자바지 [갈색],/i/045000/045220_hr1.png,0,1,7
20,953,낡은 일자바지 [회색],/i/045000/045221_hr1.png,0,1,7
21,954,낡은 일자바지 [빨강],/i/045000/045222_hr1.png,0,1,7
22,955,낡은 긴바지,/i/045000/045066_hr1.png,0,1,7
23,956,낡은 바지,/i/045000/045072_hr1.png,0,1,7
24,957,낡은 옆트임바지,/i/045000/045078_hr1.png,0,1,7
25,958,낡은 옆트임바지 [회색],/i/045000/045219_hr1.png,0,1,7
26,959,낡은 치마바지,/i/045000/045125_hr1.png,0,1,7
27,960,낡은 덧바지 [갈색],/i/045000/045217_hr1.png,0,1,7
28,961,낡은 덧바지 [회색],/i/045000/045218_hr1.png,0,1,7
29,962,낡은 헐렁바지,/i/045000/045115_hr1.png,0,1,7
30,963,낡은 쫄바지,/i/045000/045093_hr1.png,0,1,7
31,1129,낡은 제작장갑,/i/044000/044026_hr1.png,0,1,5
32,1130,낡은 손등장갑,/i/044000/044032_hr1.png,0,1,5
33,1131,낡은 작업장갑,/i/044000/044041_hr1.png,0,1,5
34,1132,낡은 반장갑,/i/044000/044064_hr1.png,0,1,5
35,1269,낡은 허벅지장화 [검정],/i/046000/046232_hr1.png,0,1,8
36,1270,낡은 허벅지장화 [회색],/i/046000/046233_hr1.png,0,1,8
37,1271,낡은 부리신,/i/046000/046134_hr1.png,0,1,8
38,1272,낡은 나무덧신,/i/046000/046136_hr1.png,0,1,8
39,1273,낡은 나무덧신 [회색],/i/046000/046235_hr1.png,0,1,8
40,1274,낡은 작업장화 [회색],/i/046000/046237_hr1.png,0,1,8
41,1275,낡은 작업장화 [갈색],/i/046000/046236_hr1.png,0,1,8
42,1276,낡은 뾰족신,/i/046000/046158_hr1.png,0,1,8
43,1277,낡은 신발 [갈색],/i/046000/046234_hr1.png,0,1,8
44,1278,낡은 신발,/i/046000/046176_hr1.png,0,1,8
45,1279,낡은 가죽신,/i/046000/046154_hr1.png,0,1,8
46,1280,낡은 전투장화,/i/046000/046817_hr1.png,0,1,8
47,1601,낡은 쇼트소드,/i/030000/030405_hr1.png,0,38,1
48,1602,바스타드소드,/i/030000/030502_hr1.png,0,38,1
49,1603,바이킹소드,/i/030000/030491_hr1.png,0,38,1
50,1604,마쿠아후이틀,/i/030000/030417_hr1.png,0,38,1
51,1605,스파타,/i/030000/030401_hr1.png,0,38,1
52,1606,오래된 바스타드소드,/i/030000/030503_hr1.png,0,38,1
53,1607,황동 바스타드소드,/i/030000/030504_hr1.png,0,38,1
54,1609,황동 바이킹소드,/i/030000/030492_hr1.png,0,38,1
55,1611,학살검,/i/030000/030506_hr1.png,0,38,1
56,1613,오래된 고블린 시미터,/i/030000/030425_hr1.png,0,38,1
57,1614,쇼트소드,/i/030000/030405_hr1.png,0,38,1
58,1616,오래된 바이킹소드,/i/030000/030494_hr1.png,0,38,1
59,1617,교관의 시미터,/i/030000/030466_hr1.png,0,38,1
60,1618,그리다니아 사병의 검,/i/030000/030495_hr1.png,0,38,1
